order,name,all_tags,name_review_num,avg_review_ratio,best_tag
39,이태원 쟈니덤플링,"['군만두', '만두', '친구', '물만두', '마파두부', '점심', '웨이팅', '평일', '수요미식회', '가지', '본점', '중국', '다리', '덤블링', '주말', '가면', '반달', '새우', '명절', '데이트']",11186,0.22,만두
47,이태원 파르크,"['친구', '피자', '한식', '가정식', '점심', '저녁', '용산', '한국', '식사', '밥집', '한정식', '한식집', '리움', '약속', '한강진', '집밥', '레스토랑', '분위기', '주말', '샐러드']",836,0.22,집밥
24,이태원 바토스,"['타코', '퀘사디아', '친구', '멕시칸', '예전', '평일', '분위기', '주말', '레스토랑', '연말', '저녁', '예약', '어마', '웨이팅', '외국', '음식점', '맥주', '멕시코', '요리', '수요미식회', '김치', '프라이', '쉬림프']",12856,0.21,타코
25,이태원 빠르크,"['친구', '피자', '파르크', '한식', '가정식', '용산', '한국', '식사', '점심', '한정식', '저녁', '리움', '약속', '밥집', '한강진', '한식집', '레스토랑', '집밥', '검색', '분위기', '주말', '샐러드']",474,0.21,한식
13,이태원 라이너스바베큐,"['바비큐', '생일', '플래터', '데이트', '브리', '미국', '나들이', '주말', '친구', '존맛', '고기', '베이비', '대기', '웨이팅', '버거', '인용', '폭립', '미니', '스킷', '풀드', '주문', '포크']",5935,0.2,고기
31,이태원 오아시스,"['파스타', '에그베네딕트', '한남', '카페', '친구', '일요일', '브런치', '사진', '분위기', '아침', '주차', '주말', '레스토랑', '청담', '골목', '인기', '예약', '웨이팅', '발렛', '평일']",3688,0.2,사진
17,이태원 루틴,"['데이트', '한강진', '자리', '카페', '주말', '프렌치', '비스트', '저녁', '프랑스', '나들이', '와인', '골목', '레스토랑', '가정식', '보기', '분위기', '코스', '아기자기', '스퀘어', '블루']",1700,0.19,분위기
35,이태원 이태원곱,"['곱창', '소곱창', '회식', '데이트', '친구', '생맥주', '가성비', '웨이팅', '저녁', '퇴근', '분위기', '단체', '시원', '살얼음', '세트', '모듬', '장소', '창집', '인분', '예전']",1614,0.19,곱창
50,이태원 프로스트,"['친구', '파티', '분위기', '핫플레이스', '일상', '한잔', '맥주', '글램', '할로윈', '술집', '거리', '월요일', '칵테일', '크리스마스', '테이블', '라운지', '저녁', '모임', '외관', '헌팅', '연말', '호텔', '카운트다운', '평일', '해밀턴']",5862,0.18,분위기
49,이태원 패션5,"['베이커리', '데이트', '친구', '생일', '카페', '언니', '올해', '파이브', '케이크', '디저트', '건물', '딸기', '빵집', '사진', '주차', '케익', '모임', '고급', '천국', '젤라또']",27571,0.17,사진
2,이태원 DOTS,"['친구', '다츠', '레스토랑', '김치볶음밥', '닷츠', '브런치', '핫플레이스', '카페', '한남', '점심', '예약', '장소', '주말', '아시아', '아시안', '카츠', '인기', '가츠', '분위기', '산도', '퀴진', '웨이팅']",87,0.16,친구
45,이태원 테이프,"['친구', '케이크', '카페', '우주', '감성', '인스타그램', '홀로그램', '루프', '분위기', '디저트', '커피', '주말', '영롱', '주문', '인스타', '내부', '사진', '조각', '무스', '라가', '이태원로']",6156,0.16,사진
4,이태원 꿀밤,"['포차', '웹툰', '드라마', '술집', '박서준', '사실', '라운지', '단밤', '인기', '평일', '방송', '혼술', '바스타', '원작', '광진', '이전', '클럽', '핫플레이스', '분위기', '칵테일', '친구']",1159,0.15,친구
